Person_responsible,Part,Definition,Location,Source,,Document,Section_(abitrary_designation) *,Section_name,Relevant_to_our_drug,topic,document_title,citation_key **,Document_description,,,,,,,,,link
Mouna,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),1,Pharmacology studies ,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Mouna,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),2,Toxicokinetic and pharmacokinetic studies,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Olivia,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),4,Repeated-dose toxicity studies,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Raluca,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),6,Exploratory clinical trials,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Raluca,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),7,Local tolerance studies ,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),8,Genotoxicity studies ,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),9,Carcinogenicity studies ,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),10,Reproduction toxicity studies,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),11,Clinical trials in pediatric populations,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Olivia,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),12,Immunotoxicity,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),13,Photosafety testing ,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),14,Other toxicity studies ,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),15,Combination drug toxicity testing ,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Dylan,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),5,Estimation of the first dose in human,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Dylan,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),3,Acute toxicity studies,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Dylan,Part A: Preclinical Plan,guideline,EU,ICH,,S9,3,Acute toxicity studies,Yes,,S9 Nonclinical evaluation for anticancer pharmaceuticals version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/S9_Guideline.pdf
Dylan,Part B: Clinical Plan,guideline,EU,ICH,,E6 (R2),5.4,Trial design ,,,Integrated addendum to ICH e6(r1): guideline for good clinical practice E6(r2)step 4 version 2016,,,,,,,,,,,https://database.ich.org/sites/default/files/E6_R2_Addendum.pdf
Dylan,Part D: Scientific Advice,regulation,EU,EMA,,Scientific advice regulatory guidance,sec 2.5.1,Dose response studies,,,,,,,,,,,,,,https://www.ema.europa.eu/en/human-regulatory/research-development/scientific-advice-protocol-assistance/scientific-advice-protocol-assistance-regulatory-procedural-guidance
Dylan,Part D: Scientific Advice,regulation,EU,EMA,,Scientific advice regulatory guidance,sec 2.3.6,Non-clinical aspects,,,,,,,,,,,,,,https://www.ema.europa.eu/en/human-regulatory/research-development/scientific-advice-protocol-assistance/scientific-advice-protocol-assistance-regulatory-procedural-guidance
Dylan,Part E: Inspection Readiness,guideline,EU,ICH,,,,,,,,,,,,,,,,,,
Dylan,Part A: Preclinical Plan,regulation,EU,EudraLex,,,3,Acute toxicity studies,,,,,,,,,,,,,,
Dylan,Part B: Clinical Plan,regulation,EU,EudraLex,,Vol 10 R2,3,Acute toxicity studies,,,,,,,,,,,,,,https://health.ec.europa.eu/medicinal-products/eudralex/eudralex-volume-10_en
Dylan,"Part C: Chemistry, Manufacturing and Controls, CMC",regulation,EU,EudraLex,,,,,,,,,,,,,,,,,,
Dylan,Part E: Inspection Readiness,regulation,EU,EudraLex,,Vol 10 R2 Chapter IV – Inspections,,,,,,,,,,,,,,,,https://health.ec.europa.eu/medicinal-products/eudralex/eudralex-volume-10_en
Dylan,Part A: Preclinical Plan,regulation,US,FDA,,,3,Acute toxicity studies,,,,,,,,,,,,,,
Dylan,Part B: Clinical Plan,regulation,US,FDA,,,3,Acute toxicity studies,,,,,,,,,,,,,,
Dylan,"Part C: Chemistry, Manufacturing and Controls, CMC",regulation,US,FDA,,,,,,,,,,,,,,,,,,
Dylan,Part D: Pre-IND Meeting / Scientific Advice,regulation,US,FDA,,,,,,,,,,,,,,,,,,
Dylan,Part E: Inspection Readiness,regulation,US,FDA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"* Section_(abitrary_designation): each document will have different names for sections, these designations is used to identify the general topic without requiring the exact name.",,,,,,,,,,,,,,,,,,,,,,
** citation_key: this Dylan's method of tracking citations from my reference manager.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Source,,Document,,,,topic,document_title,,,,,,,,,,,
,,,EU,ICH,,Q1A(R2),,,,Q1 Stability,Stability Testing of New Drug Substances and Products,,,,,,,,,,,
,,,EU,ICH,,Q1B,,,,Q1 Stability,Stability Testing : Photostability Testing of New Drug Substances and Products,,,,,,,,,,,
,,,EU,ICH,,Q1C,,,,Q1 Stability,Stability Testing for New Dosage Forms,,,,,,,,,,,
,,,EU,ICH,,Q1D,,,,Q1 Stability,Bracketing and Matrixing Designs for Stability Testing of New Drug Substances and Products,,,,,,,,,,,
,,,EU,ICH,,Q1E,,,,Q1 Stability,Evaluation of Stability Data,,,,,,,,,,,
,,,EU,ICH,,Q1F,,,,Q1 Stability,Stability Data Package for Registration Applications in Climatic Zones III and IV,,,,,,,,,,,
,,,EU,ICH,,Q1/Q5C informal WG,,,,Q1 Stability,Targeted Revisions of the ICH Stability Guideline Series,,,,,,,,,,,
,,,EU,ICH,,Q2(R1),,,,Q2 Analytical Validation,Validation of Analytical Procedures: Text and Methodology,,,,,,,,,,,
,,,EU,ICH,,Q2(R2)/Q14 EWG,,,,Shared Q2(R2)/Q14,Analytical Procedure Development and Revision of Q2 (R1) Analytical Validation,,,,,,,,,,,
,,,EU,ICH,,Q3A(R2),,,,Q3 Impurities,Impurities in New Drug Substances,,,,,,,,,,,
,,,EU,ICH,,Q3B(R2),,,,Q3 Impurities,Impurities in New Drug Products,,,,,,,,,,,
,,,EU,ICH,,Q3C(R8),,,,Q3 Impurities,Guideline for Residual Solvents,,,,,,,,,,,
,,,EU,ICH,,Q3C(R9) Maintenance EWG,,,,Q3 Impurities,Maintenance of the Guideline for Residual Solvents,,,,,,,,,,,
,,,EU,ICH,,Q3D(R2),,,,Q3 Impurities,Guideline for Elemental Impurities,,,,,,,,,,,
,,,EU,ICH,,Q3D(R3) Maintenance EWG,,,,Q3 Impurities,Maintenance of the Guideline for Elemental Impurities,,,,,,,,,,,
,,,EU,ICH,,Q3D training,,,,Q3 Impurities,Implementation of Guideline for Elemental Impurities,,,,,,,,,,,
,,,EU,ICH,,Q3E EWG,,,,Q3 Impurities,Impurity: Assessment and Control of Extractables and Leachables for Pharmaceuticals and Biologics,,,,,,,,,,,
,,,EU,ICH,,Q4A,,,,Q4 Pharmacopoeias,Pharmacopoeial Harmonisation,,,,,,,,,,,
,,,EU,ICH,,Q4B,,,,Q4 Pharmacopoeias,Evaluation and Recommendation of Pharmacopoeial Texts for Use in the ICH Regions,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 1(R1),,,,Q4 Pharmacopoeias,Residue on Ignition/Sulphated Ash General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 2(R1),,,,Q4 Pharmacopoeias,Test for Extractable Volume of Parenteral Preparations General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 3(R1),,,,Q4 Pharmacopoeias,Test for Particulate Contamination: Sub-Visible Particles General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 4A(R1),,,,Q4 Pharmacopoeias,Microbiological Examination of Non-Sterile Products: Microbial Enumeration Tests General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 4B(R1),,,,Q4 Pharmacopoeias,Microbiological Examination of Non-Sterile Products: Tests for Specified Micro-Organisms General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 4C(R1),,,,Q4 Pharmacopoeias,Microbiological Examination of Non-Sterile Products: Acceptance Criteria for Pharmaceutical Preparations and Substances for Pharmaceutical Use General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 5(R1),,,,Q4 Pharmacopoeias,Disintegration Test General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 6,,,,Q4 Pharmacopoeias,Uniformity of Dosage Units General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 7(R2),,,,Q4 Pharmacopoeias,Dissolution Test General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 8(R1),,,,Q4 Pharmacopoeias,Sterility Test General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 9(R1),,,,Q4 Pharmacopoeias,Tablet Friability General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 10(R1),,,,Q4 Pharmacopoeias,Polyacrylamide Gel Electrophoresis General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 11,,,,Q4 Pharmacopoeias,Capillary Electrophoresis General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 12,,,,Q4 Pharmacopoeias,Analytical Sieving General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 13,,,,Q4 Pharmacopoeias,Bulk Density and Tapped Density of Powders General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B Annex 14,,,,Q4 Pharmacopoeias,Bacterial Endotoxins Test General Chapter,,,,,,,,,,,
,,,EU,ICH,,Q4B FAQs,,,,Q4 Pharmacopoeias,Frequently Asked Question,,,,,,,,,,,
,,,EU,ICH,,Q5A(R1),,,,Q5 Quality of Biotechnological Products,Viral Safety Evaluation of Biotechnology Products Derived from Cell Lines of Human or Animal Origin,,,,,,,,,,,
,,,EU,ICH,,Q5A(R2) EWG,,,,Q5 Quality of Biotechnological Products,Viral Safety Evaluation of Biotechnology Products Derived from Cell Lines of Human or Animal Origin,,,,,,,,,,,
,,,EU,ICH,,Q5B,,,,Q5 Quality of Biotechnological Products,Analysis of the Expression Construct in Cells Used for Production of r-DNA Derived Protein Products,,,,,,,,,,,
,,,EU,ICH,,Q5C,,,,Q5 Quality of Biotechnological Products,Quality of Biotechnological Products: Stability Testing of Biotechnological/Biological Products,,,,,,,,,,,
,,,EU,ICH,,Q5D,,,,Q5 Quality of Biotechnological Products,Derivation and Characterisation of Cell Substrates Used for Production of Biotechnological/Biological Products,,,,,,,,,,,
,,,EU,ICH,,Q5E,,,,Q5 Quality of Biotechnological Products,Comparability of Biotechnological/Biological Products Subject to Changes in their Manufacturing Process,,,,,,,,,,,
,,,EU,ICH,,Q6A,,,,Q6 Specifications,Specifications : Test Procedures and Acceptance Criteria for New Drug Substances and New Drug Products: Chemical Substances,,,,,,,,,,,
,,,EU,ICH,,Q6B,,,,Q6 Specifications,Specifications : Test Procedures and Acceptance Criteria for Biotechnological/Biological Products,,,,,,,,,,,
,,,EU,ICH,,Q7,,,,Q7 Good Manufacturing Practice,Good Manufacturing Practice Guide for Active Pharmaceutical Ingredients,,,,,,,,,,,
,,,EU,ICH,,Q7 Q&As,,,,Q7 Good Manufacturing Practice,Questions and Answers: Good Manufacturing Practice Guide for Active Pharmaceutical Ingredients,,,,,,,,,,,
,,,EU,ICH,,Q8(R2),,,,Q8 Pharmaceutical Development,Pharmaceutical Development,,,,,,,,,,,
,,,EU,ICH,,Q8/9/10 Q&As (R4),,,,Shared Q8/9/10,Q8/Q9/Q10 - Implementation,,,,,,,,,,,
,,,EU,ICH,,Q9,,,,Q9 Quality Risk Management,Quality Risk Management,,,,,,,,,,,
,,,EU,ICH,,Q9(R1) EWG,,,,Q9 Quality Risk Management,Quality Risk Management,,,,,,,,,,,
,,,EU,ICH,,Q8/9/10 Q&As (R4),,,,Shared Q8/9/10,Q8/Q9/Q10 - Implementation,,,,,,,,,,,
,,,EU,ICH,,Q10,,,,Q10 Pharmaceutical Quality System,Pharmaceutical Quality System,,,,,,,,,,,
,,,EU,ICH,,Q8/9/10 Q&As (R4),,,,Shared Q8/9/10,Q8/Q9/Q10 - Implementation,,,,,,,,,,,
,,,EU,ICH,,Q11,,,,Q11 Development and Manufacture of Drug Substances,Development and Manufacture of Drug Substances (Chemical Entities and Biotechnological/Biological Entities),,,,,,,,,,,
,,,EU,ICH,,Q11 Q&As,,,,Q11 Development and Manufacture of Drug Substances,Questions & Answers: Selection and Justification of Starting Materials for the Manufacture of Drug Substances,,,,,,,,,,,
,,,EU,ICH,,Q12,,,,Q12 Lifecycle Management,Technical and Regulatory Considerations for Pharmaceutical Product Lifecycle Management,,,,,,,,,,,
,,,EU,ICH,,Q12 IWG,,,,Q12 Lifecycle Management,Training on Regulatory and Technical Considerations for Pharmaceutical Product Lifecycle Management,,,,,,,,,,,
,,,EU,ICH,,Q13 EWG,,,,Q13 Continuous Manufacturing of Drug Substances and Drug Products,Continuous Manufacturing of Drug Substances and Drug Products,,,,,,,,,,,
,,,EU,ICH,,Q2(R2)/Q14 EWG,,,,Shared Q2(R2)/Q14,Analytical Procedure Development and Revision of Q2 (R1) Analytical Validation,,,,,,,,,,,